4/22 0:23:49|MainFrame|MainFrame|Constructor Called.
4/22 0:23:53|MainFrame|createMozillaComponent|Method Called.
4/22 0:23:53|MainFrame|setHTTPProxyConfiguration|Method called.
4/22 0:23:53|MainFrame|setHTTPSProxyConfiguration|Method called.
4/22 0:23:53|MainFrame|setProxyServerException|Method called.
4/22 0:23:53|MainFrame|setSecurityCertificationErrors|Method called.
4/22 0:23:53|MainFrame|EnableDisableBrowserOtions|method called.
4/22 0:23:53|MainFrame|EnableDisableBrowserOtions|Enabling JavaScript feature.
4/22 0:23:53|MainFrame|EnableDisableBrowserOtions|Enabling ImageDownload feature.
4/22 0:23:53|MainFrame|EnableDisableBrowserOtions|Enabling Plugins feature.
4/22 0:23:53|MainFrame|EnableDisableBrowserOtions|Setting User Agent=Mozilla/4.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.24) Gecko/20111103 Firefox/3.6.24
4/22 0:23:53|MainFrame|addNavigationListeners|method called.
4/22 0:23:53|NetStormBrowserNavigationEventListener|NetStormBrowserNavigationEventListener|Constructor Called.
4/22 0:23:53|MainFrame|updateBackForwardButtons|method Called.
4/22 0:23:53|NetstormCEventListener|NetstormCEventListener|Constructor Called.
4/22 0:23:54|NetstormCEventListener|addHTMLElementsListeners|Method Called.
4/22 0:23:54|NetStormBrowserNavigationEventListener|setcEventListener|Method Called.
4/22 0:23:54|NetStormBrowserNavigationEventListener|setupListeners|Method Called.
4/22 0:23:54|NetstormCEventListener|addAllHTMLElementsListeners|Method Called.
4/22 0:23:54|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
4/22 0:23:54|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom, requestOrResponce = request
4/22 0:23:54|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1366613634265
4/22 0:23:54|Utils|convertToSecond method called|time = 4383.0
4/22 0:23:54|Utils|isSplit|Method called.
4/22 0:23:54|Utils|isSplit|Splitting for Ajax Header = false
4/22 0:23:54|Utils|isSplit|Splitting for method GET = false
4/22 0:23:54|Utils|isSplit|result = false
4/22 0:23:54|Utils|isSplitForTimeDiff|Method called.
4/22 0:23:54|Utils|isSplit|result = false
4/22 0:23:54|Utils|isSplitForURLType|Method called.
4/22 0:23:54|Utils|isSplitForURLType|value = false
4/22 0:23:54|Utils|isSplitForURLType|value = false
4/22 0:23:54|Utils|isSplit|isSplitForURLType = false
4/22 0:23:54|NetStormBrowserNavigationEventListener|navigationStarted|Method Called for URL=http://192.168.1.92:19001/nsecom
4/22 0:23:54|NetStormBrowserNavigationEventListener|navigationStarted|Begin Loading URL == http://192.168.1.92:19001/nsecom  ===== Begin = 1366613634343
4/22 0:23:54|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom, requestOrResponce = snapShot
4/22 0:23:54|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
4/22 0:23:54|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom, requestOrResponce = response
4/22 0:23:54|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1366613634390
4/22 0:23:54|Utils|convertToSecond method called|time = 4508.0
4/22 0:23:54|Utils|isSplit|Method called.
4/22 0:23:54|Utils|isSplit|Splitting for Ajax Header = false
4/22 0:23:54|Utils|isSplit|Splitting for method GET = false
4/22 0:23:54|Utils|isSplit|result = false
4/22 0:23:54|Utils|isSplitForTimeDiff|Method called.
4/22 0:23:54|Utils|isSplit|result = false
4/22 0:23:54|Utils|isSplitForURLType|Method called.
4/22 0:23:54|Utils|isSplitForURLType|value = false
4/22 0:23:54|Utils|isSplitForURLType|value = false
4/22 0:23:54|Utils|isSplitForURLType|value = false
4/22 0:23:54|Utils|isSplit|isSplitForURLType = false
4/22 0:23:54|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1366613634390
4/22 0:23:54|Utils|convertToSecond method called|time = 4508.0
4/22 0:23:54|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1366613634390
4/22 0:23:54|Utils|convertToSecond method called|time = 4508.0
4/22 0:23:54|NetStormBrowserNavigationEventListener|navigationStarted|Method Called for URL=http://192.168.1.92:19001/nsecom
4/22 0:23:54|NetStormBrowserNavigationEventListener|navigationStarted|Begin Loading URL == http://192.168.1.92:19001/nsecom  ===== Begin = 1366613634421
