5/6 6:5:58|MainFrame|MainFrame|Constructor Called.
5/6 6:6:1|MainFrame|createMozillaComponent|Method Called.
5/6 6:6:1|MainFrame|setSecurityCertificationErrors|Method called.
5/6 6:6:1|MainFrame|EnableDisableBrowserOtions|method called.
5/6 6:6:1|MainFrame|EnableDisableBrowserOtions|Enabling JavaScript feature.
5/6 6:6:1|MainFrame|EnableDisableBrowserOtions|Enabling ImageDownload feature.
5/6 6:6:1|MainFrame|EnableDisableBrowserOtions|Enabling Plugins feature.
5/6 6:6:1|MainFrame|EnableDisableBrowserOtions|Setting User Agent=Mozilla/4.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.24) Gecko/20111103 Firefox/3.6.24
5/6 6:6:1|MainFrame|addNavigationListeners|method called.
5/6 6:6:1|NetStormBrowserNavigationEventListener|NetStormBrowserNavigationEventListener|Constructor Called.
5/6 6:6:1|MainFrame|updateBackForwardButtons|method Called.
5/6 6:6:1|NetstormCEventListener|NetstormCEventListener|Constructor Called.
5/6 6:6:2|NetstormCEventListener|addHTMLElementsListeners|Method Called.
5/6 6:6:2|NetStormBrowserNavigationEventListener|setcEventListener|Method Called.
5/6 6:6:2|NetStormBrowserNavigationEventListener|setupListeners|Method Called.
5/6 6:6:2|NetstormCEventListener|addAllHTMLElementsListeners|Method Called.
5/6 6:6:2|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
5/6 6:6:2|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom/home, requestOrResponce = request
5/6 6:6:2|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1367843762269
5/6 6:6:2|Utils|convertToSecond method called|time = 3604.0
5/6 6:6:2|Utils|isSplit|Method called.
5/6 6:6:2|Utils|isSplit|Splitting for Ajax Header = false
5/6 6:6:2|Utils|isSplit|Splitting for method GET = false
5/6 6:6:2|Utils|isSplit|result = false
5/6 6:6:2|Utils|isSplitForTimeDiff|Method called.
5/6 6:6:2|Utils|isSplit|result = false
5/6 6:6:2|Utils|isSplitForURLType|Method called.
5/6 6:6:2|Utils|isSplitForURLType|value = false
5/6 6:6:2|Utils|isSplitForURLType|value = false
5/6 6:6:2|Utils|isSplit|isSplitForURLType = false
5/6 6:6:2|NetStormBrowserNavigationEventListener|navigationStarted|Method Called for URL=http://192.168.1.92:19001/nsecom/home
5/6 6:6:2|NetStormBrowserNavigationEventListener|navigationStarted|Begin Loading URL == http://192.168.1.92:19001/nsecom/home  ===== Begin = 1367843762331
5/6 6:6:2|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom/home, requestOrResponce = snapShot
5/6 6:6:2|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
5/6 6:6:2|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom/home, requestOrResponce = response
5/6 6:6:2|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1367843762440
5/6 6:6:2|Utils|convertToSecond method called|time = 3775.0
5/6 6:6:2|Utils|isSplit|Method called.
5/6 6:6:2|Utils|isSplit|Splitting for Ajax Header = false
5/6 6:6:2|Utils|isSplit|Splitting for method GET = false
5/6 6:6:2|Utils|isSplit|result = false
5/6 6:6:2|Utils|isSplitForTimeDiff|Method called.
5/6 6:6:2|Utils|isSplit|result = false
5/6 6:6:2|Utils|isSplitForURLType|Method called.
5/6 6:6:2|Utils|isSplitForURLType|value = false
