5/2 4:5:10|MainFrame|MainFrame|Constructor Called.
5/2 4:5:14|MainFrame|createMozillaComponent|Method Called.
5/2 4:5:14|MainFrame|setSecurityCertificationErrors|Method called.
5/2 4:5:14|MainFrame|EnableDisableBrowserOtions|method called.
5/2 4:5:14|MainFrame|EnableDisableBrowserOtions|Enabling JavaScript feature.
5/2 4:5:14|MainFrame|EnableDisableBrowserOtions|Enabling ImageDownload feature.
5/2 4:5:14|MainFrame|EnableDisableBrowserOtions|Enabling Plugins feature.
5/2 4:5:14|MainFrame|EnableDisableBrowserOtions|Setting User Agent=Mozilla/4.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.24) Gecko/20111103 Firefox/3.6.24
5/2 4:5:14|MainFrame|addNavigationListeners|method called.
5/2 4:5:14|NetStormBrowserNavigationEventListener|NetStormBrowserNavigationEventListener|Constructor Called.
5/2 4:5:14|MainFrame|updateBackForwardButtons|method Called.
5/2 4:5:14|NetstormCEventListener|NetstormCEventListener|Constructor Called.
5/2 4:5:14|NetstormCEventListener|addHTMLElementsListeners|Method Called.
5/2 4:5:14|NetStormBrowserNavigationEventListener|setcEventListener|Method Called.
5/2 4:5:14|NetStormBrowserNavigationEventListener|setupListeners|Method Called.
5/2 4:5:14|NetstormCEventListener|addAllHTMLElementsListeners|Method Called.
5/2 4:5:14|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
5/2 4:5:14|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom/home, requestOrResponce = request
5/2 4:5:14|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1367490914722
5/2 4:5:14|Utils|convertToSecond method called|time = 4899.0
5/2 4:5:14|Utils|isSplit|Method called.
5/2 4:5:14|Utils|isSplit|Splitting for Ajax Header = false
5/2 4:5:14|Utils|isSplit|Splitting for method GET = false
5/2 4:5:14|Utils|isSplit|result = false
5/2 4:5:14|Utils|isSplitForTimeDiff|Method called.
5/2 4:5:14|Utils|isSplit|result = false
5/2 4:5:14|Utils|isSplitForURLType|Method called.
5/2 4:5:14|Utils|isSplitForURLType|value = false
5/2 4:5:14|Utils|isSplitForURLType|value = false
5/2 4:5:14|Utils|isSplit|isSplitForURLType = false
5/2 4:5:14|NetStormBrowserNavigationEventListener|navigationStarted|Method Called for URL=http://192.168.1.92:19001/nsecom/home
5/2 4:5:14|NetStormBrowserNavigationEventListener|navigationStarted|Begin Loading URL == http://192.168.1.92:19001/nsecom/home  ===== Begin = 1367490914753
5/2 4:5:14|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom/home, requestOrResponce = snapShot
5/2 4:5:14|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
5/2 4:5:14|Utils|getURLTracker|urlString = http://192.168.1.92:19001/nsecom/home, requestOrResponce = response
5/2 4:5:14|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1367490914862
5/2 4:5:14|Utils|convertToSecond method called|time = 5039.0
