4/3 5:12:22|MainFrame|MainFrame|Constructor Called.
4/3 5:12:26|MainFrame|createMozillaComponent|Method Called.
4/3 5:12:26|MainFrame|setHTTPProxyConfiguration|Method called.
4/3 5:12:26|MainFrame|setHTTPSProxyConfiguration|Method called.
4/3 5:12:26|MainFrame|setProxyServerException|Method called.
4/3 5:12:26|MainFrame|setSecurityCertificationErrors|Method called.
4/3 5:12:27|MainFrame|EnableDisableBrowserOtions|method called.
4/3 5:12:27|MainFrame|EnableDisableBrowserOtions|Enabling JavaScript feature.
4/3 5:12:27|MainFrame|EnableDisableBrowserOtions|Enabling ImageDownload feature.
4/3 5:12:27|MainFrame|EnableDisableBrowserOtions|Enabling Plugins feature.
4/3 5:12:27|MainFrame|EnableDisableBrowserOtions|Setting User Agent=Mozilla/4.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.24) Gecko/20111103 Firefox/3.6.24
4/3 5:12:27|MainFrame|addNavigationListeners|method called.
4/3 5:12:27|NetStormBrowserNavigationEventListener|NetStormBrowserNavigationEventListener|Constructor Called.
4/3 5:12:27|NetstormCEventListener|NetstormCEventListener|Constructor Called.
4/3 5:12:27|MainFrame|updateBackForwardButtons|method Called.
4/3 5:12:27|NetstormCEventListener|addHTMLElementsListeners|Method Called.
4/3 5:12:27|NetStormBrowserNavigationEventListener|setcEventListener|Method Called.
4/3 5:12:27|NetStormBrowserNavigationEventListener|setupListeners|Method Called.
4/3 5:12:27|NetstormCEventListener|addAllHTMLElementsListeners|Method Called.
4/3 5:12:27|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
4/3 5:12:27|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom, requestOrResponce = request
4/3 5:12:27|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1364989347977
4/3 5:12:27|Utils|convertToSecond method called|time = 5101.0
4/3 5:12:28|Utils|isSplit|Method called.
4/3 5:12:28|Utils|isSplit|Splitting for Ajax Header = false
4/3 5:12:28|Utils|isSplit|Splitting for method GET = false
4/3 5:12:28|Utils|isSplit|result = false
4/3 5:12:28|Utils|isSplitForTimeDiff|Method called.
4/3 5:12:28|Utils|isSplit|result = false
4/3 5:12:28|Utils|isSplitForURLType|Method called.
4/3 5:12:28|Utils|isSplitForURLType|value = false
4/3 5:12:28|Utils|isSplitForURLType|value = false
4/3 5:12:28|Utils|isSplit|isSplitForURLType = false
4/3 5:12:28|NetStormBrowserNavigationEventListener|navigationStarted|Method Called for URL=http://192.168.1.86:19001/nsecom
4/3 5:12:28|NetStormBrowserNavigationEventListener|navigationStarted|Begin Loading URL == http://192.168.1.86:19001/nsecom  ===== Begin = 1364989348008
4/3 5:12:28|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom, requestOrResponce = snapShot
4/3 5:12:28|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
4/3 5:12:28|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom, requestOrResponce = response
4/3 5:12:28|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1364989348149
4/3 5:12:28|Utils|convertToSecond method called|time = 5273.0
4/3 5:12:28|Utils|isSplit|Method called.
4/3 5:12:28|Utils|isSplit|Splitting for Ajax Header = false
4/3 5:12:28|Utils|isSplit|Splitting for method GET = false
