"ID","TYPE","OCCURRED","PROCESSED","OFFSET","NAMED_USER_ID","ANDROID_CHANNEL","IOS_CHANNEL","AMAZON_CHANNEL","PUSH_ID","GROUP_ID","VARIANT_ID"
"7264520a-f417-6752-4583-6f8e8a47dec8","CONTROL","2016-06-08T15:34:19.756Z","2016-06-08T15:34:18.493Z","0","","","9cb53388-383a-a81f-05ef-84e97323ef6d","","3b2bac77-6d66-4db9-2783-87cc69a0c168","",""
"19556d3d-4aaa-5dc7-6a86-7c891242367f","CONTROL","2016-06-08T15:35:20.907Z","2016-06-08T15:35:17.000Z","0","","","b4c8fff5-6904-d51a-a885-1a9f55ea7346","","608c2874-48c6-a94e-fd8d-866d9a51fdf7","",""
"0e6c8a4e-304b-d147-7c23-98a3001a8249","CONTROL","2016-06-08T15:37:32.192Z","2016-06-08T15:37:30.654Z","0","","b2763c96-43b1-b854-5f23-f6cfb7d5d71e","","","744176f6-7eb4-ac69-36e2-aaad3f240852","",""
"5ca502a7-7098-229b-fd99-a4376dab65d7","CONTROL","2016-06-08T15:40:29.930Z","2016-06-08T15:40:31.789Z","0","01cec717-f4da-2b70-f0aa-5f10bb584f21","","521821e0-d212-1e79-b025-1acf329bd89b","","f7e2ff73-7ee2-f61f-2a77-73efcbea284a","",""
"bd2b13c0-4dd7-0f6e-a735-a9c9931ee87f","CONTROL","2016-06-08T15:42:47.301Z","2016-06-08T15:42:48.491Z","0","","","2d8a62cb-bbd5-30f1-3bf2-21aba5b3d119","","ca611b14-a9b9-a26a-0c54-6f569c96ec8e","",""
"b62d9be9-86bc-6153-115e-d12d430df1a1","CONTROL","2016-06-08T15:42:53.246Z","2016-06-08T15:42:54.204Z","0","","","ed8cf2f5-5139-f6e7-cdfa-f2e9a2f71a09","","53f1e50f-4312-8e0c-acbd-d6506456519a","",""
"584adf3f-6226-e307-a12c-6862a587d4c1","CONTROL","2016-06-08T15:42:58.997Z","2016-06-08T15:42:59.792Z","0","","","","33340d14-9f5e-cd1d-f18b-594080e0e3b1","929013bb-00e4-5ab1-03f1-ba3e27484003","",""
"fed67220-6e99-23d3-0075-c6cdcbe469e3","CONTROL","2016-06-08T15:43:47.547Z","2016-06-08T15:43:48.154Z","0","","3a43a6e2-8897-302f-5661-10fcd4939b27","","","ce69ae29-2c85-7116-212f-4e18fdb7cdab","",""
"678640ea-e5d4-99d5-dd7d-b968bc26d01f","CONTROL","2016-06-08T15:44:54.858Z","2016-06-08T15:44:54.080Z","0","","1fc3e39a-679e-57a8-e2cb-d222925904b2","","","e2cfd763-b24f-38aa-926f-07bb6ad295d2","",""
"8ef0fdee-990b-a40a-bb73-d4101752121b","CONTROL","2016-06-08T15:45:12.203Z","2016-06-08T15:45:11.814Z","0","","","c7c9ee3c-1af2-3f9f-9106-d4f15a12c0c4","","30e89bc1-d34f-56e0-fa61-3c22e5f3165d","",""
"739838d7-80ff-6cf7-a54b-fea5d328e860","CONTROL","2016-06-08T15:48:11.001Z","2016-06-08T15:48:09.740Z","0","","","3b0240c1-de02-6323-d1ba-87fb856eee72","","fb4d000b-cb72-d755-2df0-80e2bd1d71a9","",""
"6537f21a-d4df-698a-129b-250e8f558581","CONTROL","2016-06-08T15:50:28.126Z","2016-06-08T15:50:27.535Z","0","","","","68def1b6-abc6-3240-5a22-97112910ff58","9fbf6a96-59e8-72b0-1244-b7488688dd53","",""
"c4c5e60c-dd39-6fb1-b70d-df7aa88aed44","CONTROL","2016-06-08T15:50:58.228Z","2016-06-08T15:50:57.698Z","0","","","","2225ec20-952b-6321-e933-94ce3577ec85","3c3a9b27-950e-bca4-1b02-582c357741a7","",""
"3faf403c-499c-0967-7a55-0371d507c94c","CONTROL","2016-06-08T15:51:28.437Z","2016-06-08T15:51:27.921Z","0","","05bfc317-900f-c53c-fc10-0fcd89bcd023","","","bda36e8a-8243-eab9-f941-d4e9a566683f","",""
"e9981244-fe97-e949-a318-ba8f27b0b91b","CONTROL","2016-06-08T15:52:29.526Z","2016-06-08T15:52:26.820Z","0","c1a424ed-b58d-5cb1-a660-af1cef8f137d","755212d5-2fbd-8deb-ae3f-6e9749299512","","","4a618c99-7f78-9c84-2d6f-e023eae7f6bb","",""
"ca5a5058-5771-1a93-c0c5-93f848318951","CONTROL","2016-06-08T15:54:11.198Z","2016-06-08T15:54:09.140Z","0","","ee03e9b0-29bb-dfb6-142b-f5c5b5c4f222","","","ed3f70e1-3a5c-6c89-a391-c9a5657c32a5","",""
"d36c13c1-2e86-2449-4697-0231fd8faae8","CONTROL","2016-06-08T15:55:56.472Z","2016-06-08T15:55:58.193Z","0","","","82865d43-18e8-bd34-b84b-4b9dde06103b","","85c0328b-6479-3bd8-8922-c8d003afd1e4","",""
"c357ea7c-d3e8-2797-952f-a1585f6742d4","CONTROL","2016-06-08T15:57:15.611Z","2016-06-08T15:57:16.284Z","0","","","","06765760-0d0b-0d07-dd0d-b8fbd20830bb","7c75e6a9-2b66-8044-193e-41096fa1f778","",""
"2d4a61e1-1e3e-288b-0a05-af41574a4bed","CONTROL","2016-06-08T15:58:04.771Z","2016-06-08T15:58:04.349Z","0","","","e5b66a05-e3d9-4755-7763-79e15bd9f9c8","","2bcb0b0d-7fa1-fd3c-042e-8bac210b4f90","",""
"9d9e3bc2-65df-cd72-0095-0368aebdad3d","CONTROL","2016-06-08T15:58:51.737Z","2016-06-08T15:58:52.261Z","0","","f92039cc-6c41-8311-bdd3-8089f67f7471","","","893a4801-3882-5040-f19e-acca29ec085e","",""
